SBin	Comp		Uncomp
0000	0B43	000000000445066F
0001	0B5C	000000000765E7A4
0002	0B6C	000000000A649241
0003	0B80	000000001023FA6F
0004	0B90	000000001691E504
0005	0BA3	00000000225AF680
0006	0BB5	00000000320AD7E8
0007	0BC7	0000000049ED2588
0008	0BDB	0000000072E03E17
0009	0BF1	00000000B814A10B
000A	0C08	0000000131C48FAC
000B	0C21	000000020CE51254
000C	0C3D	00000003C3E5A551
000D	0C5D	00000007764496A9
000E	0C80	000000100E15CB5A
000F	0CA9	0000002681766BE3
0010	0CD8	0000006C429E209B
0011	0D12	0000017BD567A1F2
0012	0DA9	000026DC3980D8EC
0013	0EEC	00A7BE86C5C61E51
0014	0EE4	008ABAA3D383943F
0015	0D9A	00001C04F3B10A2F
0016	0CF6	000000CEE4A78183
0017	0C93	000000185EFB47F2
0018	0C4C	00000005298ADFCA
0019	0C13	0000000182C79210
001A	0BE5	000000008D90D037
001B	0BBD	000000003B9B3B15
001C	0B8D	0000000015335768
001D	0B53	0000000006116C9E
001E	0B25	000000000235F857
001F	0AFE	0000000000F6F056
0020	0AD9	00000000006EF803
0021	0ABC	00000000003B04ED
0022	0A99	00000000001B83C6
0023	0A7E	00000000000F62A8
0024	0A66	0000000000090887
0025	0A4C	0000000000053070
0026	09FE	000000000000F695
0027	00AB	0000000000000029
0028	09F3	000000000000C2C3
0029	09EC	000000000000A5FE
002A	09C5	00000000000047EC
002B	09AB	00000000000028D8
002C	099E	0000000000001EF1
002D	01C4	000000000000453A
002E	09BB	00000000000038F6
002F	01D0	0000000000005A04
0030	09A4	0000000000002320
0031	09C2	0000000000004376
0032	09B8	0000000000003604
0033	01BC	0000000000003A64
0034	01C1	00000000000040F5
0035	01E0	0000000000008077
0036	01B5	000000000000327D
0037	09C1	00000000000041EB
0038	018D	000000000000156E
0039	0A00	000000000001022D
003A	0227	0000000000025313
003B	09B7	00000000000034D7
003C	01E4	0000000000008B92
003D	0992	00000000000017CF
003E	0A04	00000000000119B1
003F	09C4	0000000000004651
0040	01B2	0000000000002F4B
0041	01B5	0000000000003260
0042	01D1	0000000000005D54
