SBin	Comp		Uncomp
0000	016D	0000000000000A9C
0001	0244	0000000000045243
0002	01CB	00000000000050A3
0003	026E	00000000000AEB92
0004	09B1	0000000000002E6E
0005	0219	000000000001B9BE
0006	0198	0000000000001AB0
0007	0265	000000000008D733
0008	020D	0000000000015683
0009	01CA	0000000000004FEA
000A	0230	000000000002CC5C
000B	01FA	000000000000E1B5
000C	0200	0000000000010198
000D	0225	00000000000234A1
000E	01D9	0000000000006EFD
000F	020F	0000000000015F99
0010	0203	00000000000113B3
0011	022C	0000000000029567
0012	024F	0000000000058E44
0013	0207	0000000000012D1B
0014	0246	0000000000049924
0015	0234	0000000000031768
0016	0235	0000000000032A17
0017	0252	000000000005DE63
0018	024E	00000000000569EE
0019	0229	00000000000270EB
001A	026C	00000000000A763B
001B	0253	00000000000618A5
001C	0281	000000000010622B
001D	029B	00000000001CCDB3
001E	02CC	0000000000531877
001F	02EE	0000000000ACB8C1
0020	031D	0000000001E15F34
0021	035E	00000000079ECA28
0022	03AE	000000002B8AA4D4
0023	0421	0000000207BDF31F
0024	04FC	000000E939F54FAE
0025	06D9	006D8439A42DD4EF
0026	0435	0000000326B42673
0027	035F	0000000007CE53D4
0028	02EB	0000000000A23C71
0029	02A3	000000000021F1A1
002A	0266	000000000009326B
002B	023A	0000000000038012
002C	021D	000000000001E49F
002D	0970	0000000000000B5E
002E	0223	0000000000021D28
002F	020B	0000000000014848
0030	021A	000000000001C2D0
0031	01F2	000000000000BE1E
0032	0222	0000000000021744
0033	0218	000000000001B072
0034	021C	000000000001D57F
0035	021F	000000000001F4FF
0036	0214	00000000000186E7
0037	01F9	000000000000DC48
0038	0209	00000000000134BB
0039	01EC	000000000000A690
003A	01C9	0000000000004D8A
003B	01FD	000000000000F1E8
003C	024A	000000000004F3E3
003D	0209	00000000000138E0
003E	0226	0000000000024178
003F	0209	0000000000013477
0040	022C	0000000000029D5D
0041	013F	00000000000003F0
0042	01F4	000000000000C73F
