SBin	Comp		Uncomp
0000	01D6	00000000000066C4
0001	0A2B	0000000000028515
0002	09AD	0000000000002AAD
0003	0A07	0000000000012B65
0004	020A	0000000000013CF3
0005	09E3	00000000000087E2
0006	01F2	000000000000BD83
0007	09FE	000000000000F517
0008	0A11	0000000000017506
0009	09F1	000000000000B898
000A	0A12	0000000000017927
000B	09D9	0000000000006F0C
000C	0A28	0000000000025E50
000D	0A14	000000000001873E
000E	01DD	00000000000078CE
000F	020A	0000000000013E02
0010	0A3F	000000000003EE1E
0011	0A40	000000000003FF06
0012	09CE	0000000000005686
0013	019E	0000000000001E53
0014	01DC	00000000000075FA
0015	01EA	000000000000A085
0016	021F	000000000001F746
0017	096A	00000000000009F7
0018	014C	0000000000000532
0019	09C1	0000000000004171
001A	021F	000000000001F838
001B	01F4	000000000000C72D
001C	0220	0000000000020442
001D	01E0	000000000000813E
001E	09D4	0000000000006396
001F	09D5	00000000000064CC
0020	0A29	0000000000026F89
0021	09C6	0000000000004851
0022	01DF	0000000000007E26
0023	09D5	00000000000065CC
0024	01FE	000000000000F5EE
0025	0A05	0000000000011BC1
0026	0987	000000000000129B
0027	0A08	000000000001338C
0028	01FC	000000000000ECE9
0029	09E0	00000000000080D2
002A	0A13	0000000000017FDD
002B	0A40	00000000000403C8
002C	0A5A	000000000007073E
002D	0A95	0000000000196BD7
002E	0ACF	0000000000587090
002F	0B60	0000000008074C37
0030	0E88	00132BE1FDFE112F
0031	0E88	00132BE10719949D
0032	0B61	0000000008166F8C
0033	0ABA	000000000037F65F
0034	0A58	000000000006A9BD
0035	0A02	0000000000010AE4
0036	0969	00000000000009C5
0037	09F9	000000000000DD91
0038	099D	0000000000001DB6
0039	0AE3	0000000000884571
003A	0B6E	000000000AEE8FBC
003B	0BD3	000000006001459D
003C	0CFC	000000E96CA4AF95
003D	0F06	0126AE087EC00D5B
003E	0CC5	0000004753BF3EC6
003F	0C4F	0000000597D578FA
0040	09E4	0000000000008AD2
0041	0A70	00000000000B6057
0042	09E5	0000000000008DD4
