SBin	Comp		Uncomp
0000	01E9	00000000000099E9
0001	0221	0000000000020970
0002	0257	0000000000069306
0003	021D	000000000001DAF2
0004	0209	00000000000135BB
0005	09EE	000000000000AD7F
0006	01EC	000000000000A66B
0007	01A7	0000000000002594
0008	01C4	000000000000463A
0009	01DF	0000000000007E60
000A	0205	0000000000011D94
000B	09C3	00000000000044A0
000C	0223	000000000002271B
000D	0248	000000000004C3C7
000E	09CD	00000000000053F9
000F	01AE	0000000000002B5E
0010	0263	00000000000887E0
0011	0258	000000000006AF31
0012	091E	00000000000001ED
0013	09C3	00000000000044E2
0014	09F9	000000000000DA1E
0015	09CF	0000000000005976
0016	023A	0000000000038ACC
0017	0A00	000000000001001D
0018	0A0B	00000000000142A2
0019	020A	0000000000013AA8
001A	0208	0000000000012FC3
001B	0234	000000000003164D
001C	0231	000000000002E55D
001D	0200	000000000000FF69
001E	0213	0000000000017EF9
001F	015A	0000000000000710
0020	0216	0000000000019C67
0021	01D3	00000000000060C8
0022	0996	0000000000001998
0023	0228	0000000000026720
0024	0257	000000000006901F
0025	01FF	000000000000F95A
0026	023F	000000000003ED88
0027	021E	000000000001ED2C
0028	0244	0000000000045D6B
0029	020E	00000000000158F6
002A	0237	000000000003482B
002B	0260	000000000007F037
002C	0273	00000000000C0746
002D	02A4	000000000022C0CD
002E	02E0	00000000007EC19D
002F	0371	000000000B797D44
0030	0699	001B612D76746F93
0031	0699	001B612B5727481D
0032	0371	000000000B8D7360
0033	02CB	000000000050F5B7
0034	0268	0000000000096A7A
0035	022F	000000000002C03D
0036	0233	0000000000030C65
0037	022E	000000000002B168
0038	020E	00000000000159E6
0039	02F3	0000000000BFF720
003A	037F	000000000F8E76C7
003B	03E3	00000000891B88AA
003C	050C	0000014D5F0D677D
003D	0717	01A4D8969ABDCCF2
003E	04D5	00000065DEFCE032
003F	0460	00000007FDDC3657
0040	0219	000000000001B620
0041	028A	000000000013F45D
0042	01FB	000000000000E512
