SBin	Comp		Uncomp
0000	09D9	0000000000006DAD
0001	024F	000000000005965D
0002	01BD	0000000000003B6A
0003	026C	00000000000A487D
0004	09B1	0000000000002E71
0005	0214	0000000000018B9B
0006	01D6	000000000000666D
0007	0274	00000000000C789B
0008	01FF	000000000000F865
0009	01F5	000000000000C800
000A	0234	0000000000031C01
000B	020C	0000000000014EAD
000C	0239	0000000000036676
000D	0229	0000000000026C54
000E	01EC	000000000000A766
000F	09F7	000000000000D30E
0010	01E3	0000000000008873
0011	0242	0000000000042773
0012	025A	00000000000702C8
0013	0225	000000000002372F
0014	025B	000000000007280C
0015	0244	00000000000457D1
0016	0231	000000000002E9FF
0017	0256	0000000000067A24
0018	0257	000000000006A4FE
0019	0241	0000000000041743
001A	026F	00000000000B14D1
001B	0266	0000000000091533
001C	028B	00000000001421A6
001D	02A3	00000000002255EE
001E	02D4	0000000000636086
001F	02F7	0000000000D117FE
0020	0326	00000000024B2B4F
0021	0367	000000000940A426
0022	03B7	0000000034F7D761
0023	042A	00000002781E8C15
0024	0505	0000011BA04A2FC3
0025	06E2	00852FAB4EE94F64
0026	043E	00000003D4C4E042
0027	0368	00000000097F117B
0028	02F4	0000000000C6E090
0029	02AC	0000000000298D00
002A	0271	00000000000B9D2E
002B	023C	000000000003B48B
002C	0228	000000000002629B
002D	01D3	000000000000615E
002E	0226	00000000000243E9
002F	0211	0000000000017473
0030	022E	000000000002B306
0031	0200	0000000000010170
0032	0227	000000000002555D
0033	0221	00000000000210D4
0034	020E	0000000000015D41
0035	022C	0000000000029BFF
0036	022B	0000000000028733
0037	01FC	000000000000EB6C
0038	0214	0000000000018D37
0039	09A0	0000000000002010
003A	01F4	000000000000C56A
003B	0201	000000000001041C
003C	0256	0000000000066F3C
003D	022D	000000000002ACE5
003E	0220	000000000002003D
003F	0214	0000000000018842
0040	0233	000000000002FCED
0041	01B8	000000000000361E
0042	0202	00000000000108AD
