SBin	Comp	Uncomp
0	493	43061
1	550	150318
2	2606	178800
3	2546	48701
4	2517	25876
5	2571	83313
6	410	7186
7	2476	10564
8	443	14789
9	2553	56399
10	524	85080
11	459	20882
12	2579	99978
13	432	11594
14	2538	40704
15	2432	4052
16	2606	175732
17	2570	81416
18	435	12266
19	374	3288
20	2531	35251
21	490	40268
22	497	47497
23	2307	273
24	2469	9037
25	430	11185
26	475	29641
27	506	57313
28	2559	64338
29	435	12491
30	2435	4348
31	2372	1109
32	403	6183
33	2533	36218
34	453	18082
35	2511	22768
36	574	249034
37	2537	39913
38	430	11019
39	2545	47572
40	2442	5086
41	2434	4288
42	2524	30119
43	2544	46786
44	2540	42161
45	2632	309060
46	2678	840143
47	2826	21035759
48	3633	819971499901508
49	3633	819967570592630
50	2827	21098440
51	2659	560587
52	2577	94437
53	425	9910
54	2537	39641
55	2517	25633
56	2490	14473
57	2706	1533435
58	2841	28786650
59	2940	246475120
60	3237	152453590342
61	3760	12603584323066944
62	3182	46560856271
63	3065	3688625377
64	2563	70317
65	2616	221340
66	2461	7601
