SBin	Comp		Uncomp
0000	0B5C	0000000007586557
0001	0B75	000000000CA98710
0002	0B85	0000000011F8B218
0003	0B9A	000000001C03288E
0004	0BA9	000000002727DFB9
0005	0BBD	000000003B57B385
0006	0BCE	00000000566600F9
0007	0BE0	00000000808C5C05
0008	0BF4	00000000C6835BBE
0009	0C0A	000000013DDF1AF4
000A	0C22	00000002127AD84A
000B	0C3A	0000000389E97979
000C	0C57	00000006863016B7
000D	0C76	0000000CE8D5E8BE
000E	0C99	0000001BC8CB5600
000F	0CC2	00000042A1FFE248
0010	0CF2	000000BB56B20A2C
0011	0D2C	00000291516A6BA0
0012	0DC2	0000433EFAB7D4E4
0013	0F06	012245FA3A585C67
0014	0EFD	00F01064029A8D98
0015	0DB3	0000307C55F79F07
0016	0D0F	00000166101E8AE3
0017	0CAD	0000002A2CEDDE91
0018	0C65	00000008EE826700
0019	0C2C	000000029D38CC14
001A	0BFE	00000000F4BB5ED4
001B	0BD6	0000000066DBFDBC
001C	0BA6	0000000024D1E6B9
001D	0B6D	000000000A88AAC3
001E	0B3D	0000000003C902D8
001F	0B18	0000000001AEC9B5
0020	0AF2	0000000000BEB5DB
0021	0AD4	0000000000629DCF
0022	0AB2	00000000002F4952
0023	0A99	00000000001BACC0
0024	0A81	0000000000104C50
0025	0A61	000000000008422A
0026	0A2B	00000000000290C7
0027	09F5	000000000000C848
0028	0A10	00000000000168E9
0029	09EF	000000000000B075
002A	09C6	0000000000004943
002B	09EE	000000000000AE17
002C	0A02	0000000000010B64
002D	01EE	000000000000ACAB
002E	01B5	00000000000032EA
002F	01B1	0000000000002E6B
0030	09A0	0000000000002032
0031	0A02	0000000000010912
0032	09EA	0000000000009E8D
0033	01BD	0000000000003C4E
0034	01E4	0000000000008A26
0035	01F4	000000000000C388
0036	01FA	000000000000E305
0037	09A2	0000000000002165
0038	0954	0000000000000635
0039	09F3	000000000000C2B9
003A	0210	00000000000167E2
003B	01CB	00000000000051FF
003C	0220	000000000001FCCB
003D	01CE	00000000000055E7
003E	0A25	0000000000023924
003F	0A10	0000000000016AE3
0040	09D4	0000000000006398
0041	09D0	0000000000005A9C
0042	01B4	000000000000314B
