SBin	Comp		Uncomp
0000	0328	0000000002619E32
0001	0334	00000000031435C6
0002	0339	000000000371D6D0
0003	034A	0000000004FB948C
0004	0350	0000000005A26FE4
0005	0363	000000000887C641
0006	0371	000000000BA193EB
0007	0383	00000000113095E7
0008	0396	000000001982CD41
0009	03AB	000000002849D7D2
000A	03C2	00000000431F2799
000B	03DA	000000006FB8860A
000C	03F7	00000000D093E2BB
000D	0416	0000000198E7C9D0
000E	0439	000000036D408E6D
000F	0461	0000000832198273
0010	0491	000000170A37E847
0011	04CB	00000050C42B8423
0012	0561	00000841FEB13CAE
0013	06A5	0023A42033981784
0014	069C	001D79ED7062E218
0015	0552	000005F3E9583F05
0016	04AF	0000002BF1CB3D85
0017	044C	000000052E2D8381
0018	0404	000000011742156A
0019	03CB	00000000515B6D60
001A	039D	000000001DB6E476
001B	0375	000000000C93B21F
001C	0345	00000000047CAAF4
001D	030C	0000000001495DE4
001E	02DA	00000000007139DC
001F	02B8	000000000035F6C4
0020	028B	00000000001456EE
0021	0271	00000000000B8C80
0022	0255	00000000000658D9
0023	0239	0000000000037588
0024	022C	0000000000029DA6
0025	020A	0000000000013F4C
0026	01D7	0000000000006948
0027	01E7	00000000000095F0
0028	01B0	0000000000002D35
0029	0199	0000000000001BB9
002A	01C7	00000000000049E9
002B	01EA	0000000000009DF9
002C	01D4	00000000000061DC
002D	016B	0000000000000A3B
002E	01D3	0000000000006191
002F	019C	0000000000001D95
0030	01D2	0000000000005F52
0031	019B	0000000000001CF7
0032	01F0	000000000000B651
0033	0194	00000000000018C8
0034	098C	00000000000014DF
0035	0996	00000000000019DA
0036	01D5	0000000000006480
0037	01C6	00000000000048B0
0038	01EC	000000000000A6BD
0039	017C	0000000000000E92
003A	09CC	0000000000005300
003B	0185	00000000000011DC
003C	09B7	0000000000003464
003D	01DA	000000000000707C
003E	09E4	0000000000008B44
003F	01D3	00000000000060A6
0040	0200	000000000000FFD6
0041	01C0	000000000000405B
0042	09B3	0000000000002FFB
