SBin	Comp		Uncomp
0000	09F8	000000000000D782
0001	0238	000000000003605F
0002	09B1	0000000000002E0C
0003	026D	00000000000A9058
0004	09E7	000000000000968A
0005	0210	00000000000169EC
0006	09CA	0000000000004EE6
0007	0A42	0000000000042989
0008	01D9	0000000000006DB7
0009	01F8	000000000000D762
000A	0969	00000000000009B4
000B	0A26	00000000000248A0
000C	0A31	000000000002EB44
000D	0A0C	0000000000014890
000E	0204	0000000000011949
000F	01E4	0000000000008CDC
0010	09D1	0000000000005CA4
0011	0216	00000000000199F5
0012	0A52	000000000005E50D
0013	0212	00000000000177C9
0014	0210	0000000000016778
0015	09EE	000000000000AC83
0016	0A17	000000000001A630
0017	09B5	00000000000032CB
0018	0A51	000000000005D3E7
0019	0A3E	000000000003D162
001A	0A38	00000000000362F5
001B	0A5E	000000000007AA99
001C	0A86	0000000000124156
001D	0AA4	000000000022EF7B
001E	0AD4	0000000000625A9B
001F	0AF5	0000000000CB9E42
0020	0B26	00000000024796BF
0021	0B67	00000000093955A5
0022	0BB7	0000000034C6E43D
0023	0C2A	0000000275B2BA1B
0024	0D05	0000011A95F09C95
0025	0EE2	0084B2CEE9E05D9A
0026	0C3E	00000003D1838822
0027	0B68	0000000009716582
0028	0AF3	0000000000C3182E
0029	0AA8	00000000002657B4
002A	0A71	00000000000B8880
002B	0A1F	000000000001F888
002C	0A26	00000000000247D9
002D	09EC	000000000000A4BE
002E	0202	00000000000109EF
002F	09A8	0000000000002624
0030	09EC	000000000000A548
0031	0179	0000000000000DE3
0032	01F2	000000000000BD65
0033	09E1	000000000000828F
0034	09F6	000000000000D056
0035	09F4	000000000000C367
0036	0218	000000000001ABED
0037	01C0	0000000000003FAC
0038	017D	0000000000000F0C
0039	01A9	0000000000002699
003A	09A4	0000000000002312
003B	0A19	000000000001B80D
003C	0232	000000000002F1F1
003D	0A23	0000000000022403
003E	0A29	0000000000026D35
003F	09EC	000000000000A600
0040	0242	0000000000043589
0041	09EF	000000000000B12C
0042	01C9	0000000000004E49
