SBin	Comp	Uncomp
0	499	49047
1	536	110875
2	2507	20748
3	523	82275
4	2503	19032
5	486	37430
6	2403	2174
7	541	122049
8	2537	40164
9	2520	27561
10	521	79703
11	454	18861
12	482	33908
13	466	24270
14	2455	6672
15	2534	37531
16	475	29100
17	543	128480
18	539	117850
19	474	28494
20	526	89377
21	480	32869
22	494	44555
23	458	20261
24	510	62878
25	499	49128
26	523	83756
27	463	22668
28	557	173165
29	576	263294
30	628	811455
31	664	1745049
32	708	4603401
33	773	18594109
34	855	109600256
35	969	1293089232
36	1188	149005480654
37	1665	4586153331215951
38	989	2013523326
39	775	19595894
40	660	1615891
41	588	343420
42	523	83335
43	486	37647
44	450	16933
45	431	11286
46	495	45064
47	2386	1510
48	395	5203
49	436	12688
50	433	11729
51	484	36095
52	466	24445
53	494	44492
54	503	53373
55	2477	10774
56	2354	750
57	474	28740
58	2467	8671
59	402	6074
60	514	68936
61	2548	50291
62	479	31994
63	459	20962
64	2519	27251
65	439	13457
66	447	15865
