SBin	Comp		Uncomp
0000	01B5	00000000000032B0
0001	0A03	0000000000010F68
0002	0A52	000000000005E272
0003	0A29	000000000002690F
0004	09FD	000000000000EEC2
0005	0A0E	0000000000015CFA
0006	09A5	00000000000023C3
0007	09CD	00000000000054A3
0008	09FB	000000000000E608
0009	09E9	0000000000009A21
000A	0A1C	000000000001D7F1
000B	01C9	0000000000004D81
000C	0A11	0000000000017253
000D	0A1B	000000000001CD60
000E	09F8	000000000000D59C
000F	01AB	00000000000028E2
0010	0A56	0000000000066334
0011	09E0	000000000000800B
0012	01BB	00000000000038D1
0013	01FF	000000000000F91C
0014	01F0	000000000000B36F
0015	0205	0000000000011C97
0016	01A3	000000000000224E
0017	0949	00000000000004E6
0018	01ED	000000000000AB27
0019	01BE	0000000000003DBD
001A	09EB	000000000000A1C0
001B	0234	00000000000312D4
001C	09FD	000000000000ED56
001D	01F7	000000000000D450
001E	01B3	000000000000301A
001F	019C	0000000000001D15
0020	09A4	0000000000002319
0021	09FE	000000000000F61E
0022	09DB	00000000000073BB
0023	01FB	000000000000E436
0024	0218	000000000001ACA5
0025	0A16	0000000000019D19
0026	0A1F	000000000001F957
0027	09EB	000000000000A29D
0028	018C	0000000000001488
0029	09A7	00000000000024E4
002A	0A20	000000000001FC4D
002B	0A57	000000000006841C
002C	0A79	00000000000DD0DF
002D	0AAD	00000000002A8859
002E	0AE8	000000000098E9E9
002F	0B7A	000000000DED81D5
0030	0EA2	00212CDC17F70F19
0031	0EA2	00212CD8D531A1F4
0032	0B7A	000000000DFEB2D3
0033	0AD3	00000000006091C3
0034	0A70	00000000000B59CA
0035	0A22	00000000000219B2
0036	09E3	00000000000089C6
0037	09F8	000000000000D93F
0038	09CB	0000000000005109
0039	0AFB	0000000000E7B646
003A	0B87	0000000012D0EE02
003B	0BEC	00000000A657A8E2
003C	0D15	0000019401AE32D5
003D	0F20	01FDEDEF1B808CF9
003E	0CDE	0000007B729083E8
003F	0C69	00000009AF69E3BF
0040	0A1C	000000000001D8A9
0041	0A94	000000000018C9F9
0042	09E4	0000000000008C62
