SBin	Comp		Uncomp
0000	099C	0000000000001D48
0001	01D0	000000000000599A
0002	0252	000000000005D9C8
0003	01DC	000000000000761E
0004	09FF	000000000000FC50
0005	09E1	000000000000822B
0006	01C2	0000000000004335
0007	09DC	0000000000007635
0008	09E4	0000000000008BFB
0009	09BB	0000000000003995
000A	09D5	0000000000006560
000B	09E7	0000000000009532
000C	01EA	0000000000009E5E
000D	0221	0000000000020C34
000E	09F8	000000000000D5A7
000F	09E1	00000000000081B2
0010	01AF	0000000000002C98
0011	022C	0000000000029DAA
0012	01AA	0000000000002801
0013	01C4	0000000000004533
0014	01A3	000000000000221C
0015	01ED	000000000000A882
0016	09EC	000000000000A633
0017	0200	000000000000FDAF
0018	0205	0000000000011C18
0019	01D8	0000000000006CC6
001A	01F7	000000000000D403
001B	09B7	0000000000003502
001C	022B	0000000000028347
001D	0192	0000000000001795
001E	01A0	0000000000002055
001F	098C	00000000000014F4
0020	09C7	00000000000049DB
0021	09F1	000000000000B7FB
0022	01E1	0000000000008395
0023	09C7	0000000000004A62
0024	0A23	000000000002216F
0025	09D7	00000000000069CF
0026	0990	00000000000016A5
0027	09A3	0000000000002216
0028	01F6	000000000000CF55
0029	0152	00000000000005F8
002A	01E1	0000000000008430
002B	01FE	000000000000F58B
002C	0226	0000000000024A09
002D	025A	0000000000071777
002E	0289	000000000013A504
002F	0318	0000000001B09E97
0030	0641	000412CAFD7E879C
0031	0641	000412CBFEE14F04
0032	0319	0000000001BA4BAD
0033	026F	00000000000B296A
0034	0219	000000000001BB6F
0035	01DB	0000000000007298
0036	01BF	0000000000003E89
0037	09EE	000000000000AE67
0038	01D6	0000000000006651
0039	0296	000000000019F03C
003A	0328	00000000025D126F
003B	038B	000000001465F032
003C	04B4	0000003198E887C3
003D	06BF	003E9C942702EDD0
003E	047D	0000000F25E1D407
003F	0408	00000001314AF5C3
0040	0A02	0000000000010A84
0041	0244	000000000004643F
0042	09D7	00000000000068A6
